group	feature	value	hypothesis	seed	model	system	nt	nt_numeric	dna_type	modifier	modifier_plot	system_short	hypothesis_short	group_short	interaction	gene	metric	level	hypothesis_short_plot
gpa_dsDNA_30nt_seed10_model_0	pTM_A	0.87	gpa_dsDNA_30nt	10	0	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s10-m0	NA	A	pTM	chain	A-dsDNA
gpa_dsDNA_30nt_seed10_model_0	pTM_DNA	0.215	gpa_dsDNA_30nt	10	0	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s10-m0	NA	DNA	pTM	chain	A-dsDNA
gpa_dsDNA_30nt_seed10_model_0	pTM_MG	NA	gpa_dsDNA_30nt	10	0	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s10-m0	NA	MG	pTM	chain	A-dsDNA
gpa_dsDNA_30nt_seed10_model_0	pTM_C	NA	gpa_dsDNA_30nt	10	0	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s10-m0	NA	C	pTM	chain	A-dsDNA
gpa_dsDNA_30nt_seed10_model_0	pTM_rep	NA	gpa_dsDNA_30nt	10	0	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s10-m0	NA	rep	pTM	chain	A-dsDNA
gpa_dsDNA_30nt_seed10_model_0	ipTM_A	0.74	gpa_dsDNA_30nt	10	0	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s10-m0	NA	A	ipTM	chain	A-dsDNA
gpa_dsDNA_30nt_seed10_model_0	ipTM_DNA	0.405	gpa_dsDNA_30nt	10	0	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s10-m0	NA	DNA	ipTM	chain	A-dsDNA
gpa_dsDNA_30nt_seed10_model_0	ipTM_MG	0.38	gpa_dsDNA_30nt	10	0	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s10-m0	NA	MG	ipTM	chain	A-dsDNA
gpa_dsDNA_30nt_seed10_model_0	ipTM_C	NA	gpa_dsDNA_30nt	10	0	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s10-m0	NA	C	ipTM	chain	A-dsDNA
gpa_dsDNA_30nt_seed10_model_0	ipTM_rep	NA	gpa_dsDNA_30nt	10	0	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s10-m0	NA	rep	ipTM	chain	A-dsDNA
