group	n_total_A_mut_interact_DNA	a_exposed_outcome_A_mut_interact_DNA	b_exposed_no_outcome_A_mut_interact_DNA	c_unexp_outcome_A_mut_interact_DNA	d_unexp_no_outcome_A_mut_interact_DNA	odds_ratio_A_mut_interact_DNA	conf_low_A_mut_interact_DNA	conf_high_A_mut_interact_DNA	log_or_ln_A_mut_interact_DNA	log_or_log10_A_mut_interact_DNA	log_conf_low_ln_A_mut_interact_DNA	log_conf_high_ln_A_mut_interact_DNA	log_conf_low_log10_A_mut_interact_DNA	log_conf_high_log10_A_mut_interact_DNA	p_value_A_mut_interact_DNA	p_value_adj_BH_A_mut_interact_DNA	hypothesis	seed	model	system	nt	nt_numeric	dna_type	modifier	modifier_plot	system_short	hypothesis_short	group_short	hypothesis_short_plot	iptm	ptm	ranking_score	has_clash	fraction_disordered	num_recycles	pTM_A	pTM_DNA	pTM_MG	pTM_C	pTM_rep	ipTM_A	ipTM_DNA	ipTM_MG	ipTM_C	ipTM_rep	ipTM_A_DNA	ipTM_A_MG	ipTM_DNA_MG	ipTM_A_C	ipTM_C_MG	ipTM_A_rep	ipTM_C_DNA	ipTM_C_rep	ipTM_DNA_rep	ipTM_MG_rep	ipSAE_A_DNA	ipSAE_d0chn_A_DNA	ipSAE_d0dom_A_DNA	ipTM_af_ipSAE_15_A_DNA	ipTM_d0chn_ipSAE_15_A_DNA	pDockQ_ipSAE_15_A_DNA	pDockQ2_ipSAE_15_A_DNA	LIS_ipSAE_15_A_DNA	ipSAE_A_C	ipSAE_d0chn_A_C	ipSAE_d0dom_A_C	ipTM_af_ipSAE_15_A_C	ipTM_d0chn_ipSAE_15_A_C	pDockQ_ipSAE_15_A_C	pDockQ2_ipSAE_15_A_C	LIS_ipSAE_15_A_C	ipSAE_A_rep	ipSAE_d0chn_A_rep	ipSAE_d0dom_A_rep	ipTM_af_ipSAE_15_A_rep	ipTM_d0chn_ipSAE_15_A_rep	pDockQ_ipSAE_15_A_rep	pDockQ2_ipSAE_15_A_rep	LIS_ipSAE_15_A_rep	ipSAE_C_DNA	ipSAE_d0chn_C_DNA	ipSAE_d0dom_C_DNA	ipTM_af_ipSAE_15_C_DNA	ipTM_d0chn_ipSAE_15_C_DNA	pDockQ_ipSAE_15_C_DNA	pDockQ2_ipSAE_15_C_DNA	LIS_ipSAE_15_C_DNA	ipSAE_C_rep	ipSAE_d0chn_C_rep	ipSAE_d0dom_C_rep	ipTM_af_ipSAE_15_C_rep	ipTM_d0chn_ipSAE_15_C_rep	pDockQ_ipSAE_15_C_rep	pDockQ2_ipSAE_15_C_rep	LIS_ipSAE_15_C_rep	ipSAE_DNA_rep	ipSAE_d0chn_DNA_rep	ipSAE_d0dom_DNA_rep	ipTM_af_ipSAE_15_DNA_rep	ipTM_d0chn_ipSAE_15_DNA_rep	pDockQ_ipSAE_15_DNA_rep	pDockQ2_ipSAE_15_DNA_rep	LIS_ipSAE_15_DNA_rep
gpa_dsDNA_30nt_seed10_model_0	4832	284	593	861	3094	1.7207082078853648	1.4600779634342202	2.0254665959304345	0.5427359548506593	0.23570723032213375	0.3784898339070161	0.7058000917598358	0.1643760463222954	0.3065250851781055	9.18709041605775e-11	1.3753129365355913e-10	gpa_dsDNA_30nt	10	0	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s10-m0	A-dsDNA	0.68	0.85	0.73	0	0.03	10	0.87	0.215	NA	NA	NA	0.74	0.405	0.38	NA	NA	0.68	0.86	0.14	NA	NA	NA	NA	NA	NA	NA	0.505838	0.638852	0.625903	0.86	0.593426	0.2331	0.1944	0.318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed10_model_1	4832	281	555	864	3132	1.8351729137986086	1.5543035399182896	2.1640498368736147	0.6071387080199965	0.263676990642954	0.44102756100414725	0.7719813906976143	0.19153583611135092	0.3352672581119722	6.448888437745248e-13	1.143419935770434e-12	gpa_dsDNA_30nt	10	1	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s10-m1	A-dsDNA	0.66	0.84	0.71	0	0.03	10	0.85	0.215	NA	NA	NA	0.72	0.385	0.36	NA	NA	0.66	0.84	0.13	NA	NA	NA	NA	NA	NA	NA	0.490955	0.640678	0.62041	0.84	0.570925	0.3091	0.2385	0.314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed10_model_2	4832	269	517	876	3170	1.8826384315641074	1.5891880601513582	2.2272468362416165	0.632674214011701	0.27476691998775876	0.4632232318111291	0.8007662201401649	0.20117529346496424	0.34776835070139817	2.2779749801198653e-13	4.2499533211191517e-13	gpa_dsDNA_30nt	10	2	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s10-m2	A-dsDNA	0.64	0.84	0.69	0	0.03	10	0.86	0.20500000000000002	NA	NA	NA	0.7	0.37	0.37	NA	NA	0.63	0.84	0.13	NA	NA	NA	NA	NA	NA	NA	0.477482	0.662817	0.647321	0.84	0.528063	0.2484	0.1157	0.324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed10_model_3	4832	297	562	848	3125	1.947223026009127	1.653258260838907	2.290924876516475	0.6664042683707768	0.2894156964702021	0.5027480442871477	0.8289556122381732	0.2183407014215599	0.3600108481377703	1.5355029395165806e-15	3.2809891870012406e-15	gpa_dsDNA_30nt	10	3	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s10-m3	A-dsDNA	0.6	0.83	0.66	0	0.03	10	0.85	0.19	NA	NA	NA	0.68	0.34	0.34	NA	NA	0.59	0.85	0.09	NA	NA	NA	NA	NA	NA	NA	0.393396	0.647535	0.630284	0.85	0.493377	0.213	0.0744	0.2761	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed10_model_4	4832	304	576	841	3111	1.952071834391245	1.6597913630519654	2.2935132930134765	0.6688912877191334	0.29049579524958	0.5066919095609873	0.8300848309892312	0.22005350034735832	0.36050126161021656	6.713761735118826e-16	1.5121084989006366e-15	gpa_dsDNA_30nt	10	4	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s10-m4	A-dsDNA	0.59	0.83	0.65	0	0.03	10	0.85	0.19	NA	NA	NA	0.67	0.335	0.34	NA	NA	0.58	0.83	0.1	NA	NA	NA	NA	NA	NA	NA	0.422029	0.652825	0.63484	0.83	0.491509	0.2485	0.0787	0.2821	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed1_model_0	4832	267	535	878	3152	1.7914795412983668	1.5128107316904165	2.1183005307271987	0.5830418378251366	0.25321185288618747	0.4139693322623961	0.7506141307521685	0.17978459667873242	0.3259875750242728	1.3400062777211146e-11	2.0937598089392417e-11	gpa_dsDNA_30nt	1	0	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s1-m0	A-dsDNA	0.74	0.87	0.79	0	0.03	10	0.88	0.24	NA	NA	NA	0.78	0.455	0.41	NA	NA	0.75	0.88	0.18	NA	NA	NA	NA	NA	NA	NA	0.558002	0.665159	0.653884	0.88	0.665159	0.2938	0.2947	0.3479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed1_model_1	4832	269	565	876	3122	1.6965427335399488	1.4348841490834403	2.003308888510318	0.5285924941615379	0.22956480338983273	0.36108411360651854	0.6948002577298441	0.1568168380422379	0.3017479179570285	5.555569436226231e-10	7.982139994577918e-10	gpa_dsDNA_30nt	1	1	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s1-m1	A-dsDNA	0.73	0.86	0.77	0	0.03	10	0.86	0.235	NA	NA	NA	0.77	0.435	0.39	NA	NA	0.74	0.85	0.17	NA	NA	NA	NA	NA	NA	NA	0.530541	0.647285	0.63224	0.85	0.641746	0.292	0.2794	0.3321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed1_model_2	4832	266	520	879	3167	1.8428624485585021	1.5550244961560882	2.180864038713326	0.6113200413709218	0.26549292064425895	0.4414912986621584	0.7797211463094997	0.19173723481727592	0.3386285912654938	1.739006961936003e-12	2.97775164715069e-12	gpa_dsDNA_30nt	1	2	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s1-m2	A-dsDNA	0.71	0.84	0.76	0	0.04	10	0.85	0.225	NA	NA	NA	0.75	0.415	0.38	NA	NA	0.71	0.85	0.15	NA	NA	NA	NA	NA	NA	NA	0.527829	0.632968	0.614453	0.85	0.614908	0.279	0.2453	0.3227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed1_model_3	4832	302	580	843	3107	1.9188321258531509	1.6313430857278244	2.2545750439972263	0.651716733184972	0.28303698098624724	0.4894036545084841	0.8129615046400508	0.21254530657632015	0.3530646954649389	3.1263615099876467e-15	6.513253145807598e-15	gpa_dsDNA_30nt	1	3	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s1-m3	A-dsDNA	0.7	0.86	0.75	0	0.03	10	0.87	0.225	NA	NA	NA	0.75	0.415	0.39	NA	NA	0.71	0.87	0.16	NA	NA	NA	NA	NA	NA	NA	0.497948	0.636144	0.619358	0.87	0.614021	0.307	0.2518	0.316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed1_model_4	4832	282	555	863	3132	1.843832690475314	1.5618580492020657	2.173861207523731	0.6118463891716601	0.2657215105896815	0.4458761696963685	0.7765049446756271	0.19364156011129074	0.3372318126432147	4.59078956258775e-13	8.256815760049909e-13	gpa_dsDNA_30nt	1	4	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s1-m4	A-dsDNA	0.62	0.84	0.68	0	0.04	10	0.86	0.20500000000000002	NA	NA	NA	0.69	0.365	0.36	NA	NA	0.62	0.85	0.13	NA	NA	NA	NA	NA	NA	NA	0.452894	0.661504	0.642779	0.85	0.509281	0.2282	0.1196	0.3013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
