model	reference_model	pruned_atom_pairs	pruned_rmsd_to_reference	all_atom_pairs	all_pair_rmsd_to_reference	source_file	comparison	hypothesis	seed	system	nt	nt_numeric	dna_type	modifier	modifier_plot	system_short	hypothesis_short	group_short	hypothesis_short_plot
0	gpa_ssDNA_30nt_seed5_model_0	445	0.925	513	5.449	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	1	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s1-m0	A-dsDNA
1	gpa_ssDNA_30nt_seed5_model_0	385	0.865	513	5.372	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	1	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s1-m1	A-dsDNA
2	gpa_ssDNA_30nt_seed5_model_0	452	0.912	513	5.408	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	1	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s1-m2	A-dsDNA
3	gpa_ssDNA_30nt_seed5_model_0	435	0.843	513	5.044	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	1	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s1-m3	A-dsDNA
4	gpa_ssDNA_30nt_seed5_model_0	415	0.842	513	5.432	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	1	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s1-m4	A-dsDNA
0	gpa_ssDNA_30nt_seed5_model_0	429	0.867	513	5.465	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	10	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s10-m0	A-dsDNA
1	gpa_ssDNA_30nt_seed5_model_0	418	0.868	513	5.029	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	10	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s10-m1	A-dsDNA
2	gpa_ssDNA_30nt_seed5_model_0	456	0.762	513	5.024	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	10	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s10-m2	A-dsDNA
3	gpa_ssDNA_30nt_seed5_model_0	433	0.87	513	5.412	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	10	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s10-m3	A-dsDNA
4	gpa_ssDNA_30nt_seed5_model_0	428	0.851	513	5.384	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	10	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s10-m4	A-dsDNA
