predictor_name	mean_rho_phix	median_rho_phix	sd_mean_rho_phix	sd_median_rho_phix	n_genes	gene_names	predictor_input_modality	predictor_input_modality_simplified
ESCOTT	0.5367634392792193	0.4984314635829823	0.10976864147473453	0.10976864147473453	4	A, F, G, J	Structure & MSA	Hybrid
ProteoCast	0.4280808396548019	0.41324959890527074	0.17676553278006266	0.17676553278006266	7	A, D, E, F, G, H, J	Structure & MSA	Hybrid
GEMME	0.4104645932899487	0.42481175711395247	0.0937137174112362	0.0937137174112362	9	A, B, C, D, E, F, G, H, J	MSA	MSA-based
RSALOR	0.38190837840121006	0.38093419972506176	0.15506751414067643	0.15506751414067643	8	A, B, D, E, F, G, H, J	Structure & MSA	Hybrid
DDMut	0.33551974962642317	0.30282554321058874	0.16432512589922402	0.16432512589922402	8	A, B, D, E, F, G, H, J	Structure	Structure-based
RSA (complex)	0.3334813657007568	0.41004722767440166	0.1766730807757979	0.1766730807757979	7	B, D, E, F, G, H, J	RSA Baselines	RSA
VESPAl	0.33245908640390714	0.3241742006282422	0.08824604677494846	0.08824604677494846	9	A, B, C, D, E, F, G, H, J	Single sequence	Protein Language Model (PLM)
VESPA	0.31947462428061063	0.3209212073552347	0.07385896055617104	0.07385896055617104	9	A, B, C, D, E, F, G, H, J	Single sequence	Protein Language Model (PLM)
ThermoMPNN	0.313908273519765	0.33250377660483765	0.13822144320940224	0.13822144320940224	8	A, B, D, E, F, G, H, J	Structure	Structure-based
ProteinMPNN-ddG	0.3057381310893704	0.32634468393642824	0.10256700502779278	0.10256700502779278	8	A, B, D, E, F, G, H, J	Structure	Structure-based
Progen2 XL	0.26996961917117623	0.34294659494609575	0.19227617325298862	0.19227617325298862	9	A, B, C, D, E, F, G, H, J	Single sequence	Protein Language Model (PLM)
ESM-IF1	0.26826454983783826	0.2503465960184342	0.09826506879808733	0.09826506879808733	8	A, B, D, E, F, G, H, J	Single sequence & Structure	Hybrid
MIF-ST	0.2578230932380124	0.24859602870963798	0.092065346941857	0.092065346941857	8	A, B, D, E, F, G, H, J	Single sequence & Structure	Hybrid
Progen2 L	0.2576814683094285	0.31298951765211386	0.21681314705318377	0.21681314705318377	9	A, B, C, D, E, F, G, H, J	Single sequence	Protein Language Model (PLM)
RSA (monomer)	0.25761502726385876	0.258148318961109	0.11115100137743701	0.11115100137743701	8	A, B, D, E, F, G, H, J	RSA Baselines	RSA
PoET (200M)	0.2545171320760916	0.23945506243514164	0.1073532905544547	0.1073532905544547	9	A, B, C, D, E, F, G, H, J	MSA	MSA-based
EVmutation2	0.2479832960264142	0.3044822557797302	0.14274063220653235	0.14274063220653235	7	A, B, C, D, F, G, H	MSA	MSA-based
ProSST (k=2048)	0.22687747479546724	0.25704725403662587	0.1911572023042938	0.1911572023042938	8	A, B, D, E, F, G, H, J	Single sequence & Structure	Hybrid
DDMut-PPI	0.22625519814941714	0.18737216031787768	0.10358799105652068	0.10358799105652068	7	B, D, E, F, G, H, J	Structure	Structure-based
SaProt (650M)	0.1941036252467353	0.22306377647329717	0.17240952139629645	0.17240952139629645	8	A, B, D, E, F, G, H, J	Single sequence & Structure	Hybrid
Tranception-L	0.17564472765505362	0.19514365968173092	0.09955073373132904	0.09955073373132904	9	A, B, C, D, E, F, G, H, J	MSA	MSA-based
ESM2 (3B)	0.0898687383199461	0.04855059883688422	0.17190212164877913	0.17190212164877913	9	A, B, C, D, E, F, G, H, J	Single sequence	Protein Language Model (PLM)
ESM2 (15B)	0.08406327694451125	0.0495856693761344	0.16700244007449996	0.16700244007449996	9	A, B, C, D, E, F, G, H, J	Single sequence	Protein Language Model (PLM)
ESMC (6B)	0.06324970821968401	0.04120845685909376	0.15350938040802778	0.15350938040802778	9	A, B, C, D, E, F, G, H, J	Single sequence	Protein Language Model (PLM)
ESM2 (650M)	0.053679251152412226	0.023495033492552855	0.13858102555591542	0.13858102555591542	9	A, B, C, D, E, F, G, H, J	Single sequence	Protein Language Model (PLM)
ESMC (600M)	0.04384270056233103	0.004276607869301449	0.13662409374788223	0.13662409374788223	9	A, B, C, D, E, F, G, H, J	Single sequence	Protein Language Model (PLM)
ESM2 (150M)	0.03744036524895334	0.012958932002629568	0.10932893485257099	0.10932893485257099	9	A, B, C, D, E, F, G, H, J	Single sequence	Protein Language Model (PLM)
ESMC (300M)	0.02742851172627623	-0.005041233304120659	0.12321278465452257	0.12321278465452257	9	A, B, C, D, E, F, G, H, J	Single sequence	Protein Language Model (PLM)
ESM3 Open (1.4B)	0.024907603384846797	0.016792448219495562	0.10889903713831085	0.10889903713831085	9	A, B, C, D, E, F, G, H, J	Single sequence	Protein Language Model (PLM)
ESM1v (single)	0.02420919421341771	0.00955994837928781	0.10293597771283562	0.10293597771283562	9	A, B, C, D, E, F, G, H, J	Single sequence	Protein Language Model (PLM)
ESM2 (8M)	0.019702302592322342	0.010527263251929085	0.1009732137593233	0.1009732137593233	9	A, B, C, D, E, F, G, H, J	Single sequence	Protein Language Model (PLM)
ESM1v (ensemble)	0.019288903914682264	0.010313197877436312	0.111614499209062	0.111614499209062	9	A, B, C, D, E, F, G, H, J	Single sequence	Protein Language Model (PLM)
Tranception-L (no retrieval)	0.01217439297310264	-0.008668756825483766	0.1215397149540995	0.1215397149540995	9	A, B, C, D, E, F, G, H, J	Single sequence	Protein Language Model (PLM)
ESM2 (35M)	0.012170433955251882	-0.002228506068754522	0.11003558991700634	0.11003558991700634	9	A, B, C, D, E, F, G, H, J	Single sequence	Protein Language Model (PLM)
