test_type	dataset	group	exposure_var	outcome_var	exposure_focus	outcome_focus	n_total	a_exposed_outcome	b_exposed_no_outcome	c_unexp_outcome	d_unexp_no_outcome	odds_ratio	conf_low	conf_high	log_or_ln	log_conf_low_ln	log_conf_high_ln	log_or_log10	log_conf_low_log10	log_conf_high_log10	p_value	method	subset	exposure_set	p_adj	significant	odds_ratio_plot
fisher_odds_ratio	NA	A	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Core	Detrimental,Lethal	7191	2007	352	2623	2209	4.800764510283346	4.225477653229624	5.464627065071652	1.5687751782069486	1.4411323084378591	1.6982958786909759	0.6813104032420683	0.6258758092470573	0.7375605287545252	5.180045417754999e-157	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	7.122562449413159e-156	TRUE	4.800764510283346
fisher_odds_ratio	NA	A	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Interface	Detrimental,Lethal	7191	1318	608	3312	1953	1.2782281565595799	1.1422516258703868	1.4312758318181547	0.24547486628087897	0.13300142485299662	0.3585662365894402	0.10660837987172435	0.05776178489892645	0.15572333794760976	1.4272521951312454e-5	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	2.803531097579232e-5	TRUE	1.2782281565595799
fisher_odds_ratio	NA	A	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Non-interface surface	Detrimental,Lethal	7191	1305	1601	3325	960	0.23539418137621926	0.21212886934624542	0.26109358018454926	-1.4464938024894118	-1.550561314716111	-1.3428763911528712	-0.6282042765284037	-0.6734002228338585	-0.5832038065558447	2.226213156964086e-177	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	1.2244172363302473e-175	TRUE	0.23539418137621926
fisher_odds_ratio	NA	B	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Core	Detrimental,Lethal	229	10	10	63	146	2.3081060753021214	0.8174100247656547	6.524871943673033	0.8364273074260067	-0.2016144437166747	1.8756213275254519	0.3632557641283095	-0.08756004037814556	0.8145719926843554	0.08100068880583307	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	0.11137594710802047	FALSE	2.3081060753021214
fisher_odds_ratio	NA	B	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Interface	Detrimental,Lethal	229	24	17	49	139	3.9763479976163945	1.8736097060524373	8.619789666297047	1.3803638095156845	0.6278668942772513	2.154060683716305	0.5994843854916132	0.27267912755434265	0.9354966686227372	1.4755623321395557e-4	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	2.7051976089225186e-4	TRUE	3.9763479976163945
fisher_odds_ratio	NA	B	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Non-interface surface	Detrimental,Lethal	229	25	49	48	107	1.1366798701376761	0.5998993428763104	2.1286541778464647	0.12811161851675085	-0.5109933997124037	0.7554899386388066	0.05563816898951935	-0.22192161378407962	0.3281051114842601	0.761879384012942	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	0.8090424892231859	FALSE	1.1366798701376761
fisher_odds_ratio	NA	B	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Unknown structure	Detrimental,Lethal	229	14	80	59	76	0.22686689172037375	0.10768423686615218	0.4525402665613018	-1.4833918135752333	-2.228552067034449	-0.7928785329254483	-0.6442288791361811	-0.9678478653471472	-0.34434277166906796	3.2156842683312963e-6	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	6.8024090291623575e-6	TRUE	0.22686689172037375
fisher_odds_ratio	NA	C	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Interface	Detrimental,Lethal	1113	458	219	258	178	1.4423246738706246	1.114670973756382	1.8664324309310263	0.3662561687692045	0.10855927056277317	0.6240288177694823	0.15906303305949163	0.04714669216485451	0.271012272105896	0.00476673391369396	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	0.007710893095681411	TRUE	1.4423246738706246
fisher_odds_ratio	NA	C	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Unknown structure	Detrimental,Lethal	1113	258	178	458	219	0.6933251702034612	0.5357815174167188	0.8971257200948304	-0.3662561687692021	-0.6240288177694818	-0.10855927056277317	-0.15906303305949057	-0.27101227210589585	-0.04714669216485451	0.004766733913693963	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	0.007710893095681411	TRUE	0.6933251702034612
fisher_odds_ratio	NA	D	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Core	Detrimental,Lethal	1292	262	4	893	133	9.746096944688052	3.664053222277253	36.62450970294295	2.2768668914976424	1.2985699724370778	3.6007176802972625	0.9888307270056362	0.5639617733946807	1.5637718194445782	4.86308606135896e-10	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	1.2736653970225849e-9	TRUE	9.746096944688052
fisher_odds_ratio	NA	D	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Interface	Detrimental,Lethal	1292	673	76	482	61	1.1205853691264736	0.7703474060591744	1.624850557133358	0.11385119977831738	-0.2609136891837849	0.4854158467116651	0.04944494782178797	-0.11331337546553794	0.2108134236552709	0.5829925980870212	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	0.6935563128282825	FALSE	1.1205853691264736
fisher_odds_ratio	NA	D	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Non-interface surface	Detrimental,Lethal	1292	196	34	959	103	0.619408950434569	0.40290380394888825	0.9706170104890892	-0.47898956137861426	-0.9090574454074937	-0.02982331641857306	-0.20802252339599112	-0.39479863227354106	-0.012952101752640931	0.032702933695109196	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	0.04861246900624339	TRUE	0.619408950434569
fisher_odds_ratio	NA	D	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Unknown structure	Detrimental,Lethal	1292	24	23	1131	114	0.10554152874313902	0.05507694660643553	0.20249001755865628	-2.248650766145157	-2.8990240422713014	-1.597064689657267	-0.9765766194643613	-1.2590301444632856	-0.6935963819606804	1.2125221796616535e-11	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	3.334435994069547e-11	TRUE	0.10554152874313902
fisher_odds_ratio	NA	E	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Interface	Detrimental,Lethal	179	35	60	12	72	3.475729241422258	1.59292048917387	8.037749549242738	1.245804310647252	0.46556911704812903	2.0841491371990473	0.5410459376453861	0.2021940984785716	0.9051344697489696	6.494751431273438e-4	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	0.0011522946087743197	TRUE	3.475729241422258
fisher_odds_ratio	NA	E	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Non-interface surface	Detrimental,Lethal	179	9	16	38	116	1.7113969611433912	0.6137186606583399	4.521795229061629	0.537309973344866	-0.4882186632409229	1.508909089562355	0.2333507564952586	-0.21203067140771478	0.6553108912905904	0.23102649266273784	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	0.3025346927726329	FALSE	1.7113969611433912
fisher_odds_ratio	NA	E	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Unknown structure	Detrimental,Lethal	179	3	56	44	76	0.09348825927925389	0.017677230964748304	0.31506667723256254	-2.3699194197778093	-4.035477853679709	-1.1549709888020654	-1.0292429265648588	-1.7525857636958762	-0.5015975271950794	1.5721945118616316e-6	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	3.6029457563495724e-6	TRUE	0.09348825927925389
fisher_odds_ratio	NA	F	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Core	Detrimental,Lethal	8103	2048	96	5174	785	3.2363243747823995	2.5981904229338886	4.0680945939688025	1.1744382335985675	0.954815211533863	1.4031747311039668	0.5100520441880602	0.41467097760644284	0.6093910428645319	4.58625118696869e-33	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	2.102031794027316e-32	TRUE	3.2363243747823995
