aa_mut_gene	residue_category	count	proportion	percent
A	Essential	338	0.6588693957115009	65.89
A	Sensitive	89	0.17348927875243664	17.35
A	Tolerant	5	0.009746588693957114	0.97
A	Unable to define	81	0.15789473684210525	15.79
B	Essential	22	0.18333333333333332	18.33
B	Sensitive	23	0.19166666666666668	19.17
B	Unable to define	75	0.625	62.5
C	Essential	62	0.7209302325581395	72.09
C	Sensitive	12	0.13953488372093023	13.95
C	Tolerant	1	0.011627906976744186	1.16
C	Unable to define	11	0.12790697674418605	12.79
D	Essential	129	0.8486842105263158	84.87
D	Sensitive	11	0.07236842105263158	7.24
D	Unable to define	12	0.07894736842105263	7.89
E	Sensitive	31	0.34065934065934067	34.07
E	Unable to define	60	0.6593406593406593	65.93
F	Essential	402	0.9414519906323185	94.15
F	Sensitive	25	0.0585480093676815	5.85
G	Essential	145	0.8285714285714286	82.86
G	Sensitive	19	0.10857142857142857	10.86
G	Tolerant	9	0.05142857142857143	5.14
G	Unable to define	2	0.011428571428571429	1.14
H	Essential	267	0.8140243902439024	81.4
H	Sensitive	53	0.16158536585365854	16.16
H	Tolerant	8	0.024390243902439025	2.44
J	Essential	22	0.5789473684210527	57.89
J	Sensitive	15	0.39473684210526316	39.47
J	Tolerant	1	0.02631578947368421	2.63
K	Unable to define	56	1	100
