aa_mut_gene	binder_genes	mutation_category_FDR_1aa	count	proportion	percent	interface
A	C	Beneficial	3	0.005067567567567568	0.51	A-C
A	C	Neutral	228	0.38513513513513514	38.51	A-C
A	C	Detrimental	361	0.6097972972972973	60.98	A-C
A	DNA	Beneficial	4	0.0033927056827820186	0.34	A-DNA
A	DNA	Neutral	341	0.28922815945716707	28.92	A-DNA
A	DNA	Detrimental	834	0.7073791348600509	70.74	A-DNA
B	B	Neutral	2	1	100	B-B
B	F	Beneficial	9	0.23076923076923078	23.08	B-F
B	F	Neutral	6	0.15384615384615385	15.38	B-F
B	F	Detrimental	24	0.6153846153846154	61.54	B-F
C	A	Neutral	219	0.32348596750369274	32.35	C-A
C	A	Detrimental	458	0.6765140324963073	67.65	C-A
D	D	Neutral	17	0.04047619047619048	4.05	D-D
D	D	Detrimental	403	0.9595238095238096	95.95	D-D
D	F	Neutral	20	0.3333333333333333	33.33	D-F
D	F	Detrimental	40	0.6666666666666666	66.67	D-F
D	G	Neutral	15	0.38461538461538464	38.46	D-G
D	G	Detrimental	24	0.6153846153846154	61.54	D-G
E	E	Neutral	3	1	100	E-E
E	HostmraY	Neutral	27	0.54	54	E-HostmraY
E	HostmraY	Detrimental	23	0.46	46	E-HostmraY
E	HostslyD	Neutral	18	0.782608695652174	78.26	E-HostslyD
E	HostslyD	Detrimental	5	0.21739130434782608	21.74	E-HostslyD
F	B	Beneficial	5	0.021929824561403508	2.19	F-B
F	B	Neutral	11	0.04824561403508772	4.82	F-B
F	B	Detrimental	212	0.9298245614035088	92.98	F-B
F	D	Beneficial	11	0.022267206477732792	2.23	F-D
F	D	Neutral	78	0.15789473684210525	15.79	F-D
F	D	Detrimental	405	0.819838056680162	81.98	F-D
F	DNA	Beneficial	1	0.02631578947368421	2.63	F-DNA
F	DNA	Neutral	9	0.23684210526315788	23.68	F-DNA
F	DNA	Detrimental	28	0.7368421052631579	73.68	F-DNA
F	F	Beneficial	70	0.0315173345339937	3.15	F-F
F	F	Neutral	179	0.08059432687978388	8.06	F-F
F	F	Detrimental	1972	0.8878883385862224	88.79	F-F
F	G	Neutral	8	0.042105263157894736	4.21	F-G
F	G	Detrimental	182	0.9578947368421052	95.79	F-G
F	J	Beneficial	3	0.008310249307479225	0.83	F-J
F	J	Neutral	22	0.060941828254847646	6.09	F-J
F	J	Detrimental	336	0.9307479224376731	93.07	F-J
G	D	Beneficial	10	0.053475935828877004	5.35	G-D
G	D	Neutral	80	0.42780748663101603	42.78	G-D
G	D	Detrimental	97	0.5187165775401069	51.87	G-D
G	F	Neutral	4	0.21052631578947367	21.05	G-F
G	F	Detrimental	15	0.7894736842105263	78.95	G-F
G	G	Beneficial	2	0.0018467220683287165	0.18	G-G
G	G	Neutral	401	0.3702677746999077	37.03	G-G
G	G	Detrimental	680	0.6278855032317636	62.79	G-G
H	H	Beneficial	47	0.021286231884057972	2.13	H-H
H	H	Neutral	962	0.43568840579710144	43.57	H-H
H	H	Detrimental	1199	0.5430253623188406	54.3	H-H
J	DNA	Detrimental	19	1	100	J-DNA
J	F	Beneficial	33	0.07894736842105263	7.89	J-F
J	F	Neutral	93	0.22248803827751196	22.25	J-F
J	F	Detrimental	292	0.6985645933014354	69.86	J-F
