library	design_file	samples	inputs	outputs	experiment_replicates
lib10	metadata/experiment_designs/lib10_experiment_design.tsv	6	3	3	3
lib11	metadata/experiment_designs/lib11_experiment_design.tsv	6	3	3	3
lib12	metadata/experiment_designs/lib12_experiment_design.tsv	6	3	3	3
lib13	metadata/experiment_designs/lib13_experiment_design.tsv	6	3	3	3
lib14	metadata/experiment_designs/lib14_experiment_design.tsv	6	3	3	3
lib15	metadata/experiment_designs/lib15_experiment_design.tsv	6	3	3	3
lib16	metadata/experiment_designs/lib16_experiment_design.tsv	6	3	3	3
lib17	metadata/experiment_designs/lib17_experiment_design.tsv	6	3	3	3
lib18	metadata/experiment_designs/lib18_experiment_design.tsv	6	3	3	3
lib19	metadata/experiment_designs/lib19_experiment_design.tsv	6	3	3	3
lib1	metadata/experiment_designs/lib1_experiment_design.tsv	6	3	3	3
lib20	metadata/experiment_designs/lib20_experiment_design.tsv	6	3	3	3
lib21	metadata/experiment_designs/lib21_experiment_design.tsv	6	3	3	3
lib22	metadata/experiment_designs/lib22_experiment_design.tsv	6	3	3	3
lib23	metadata/experiment_designs/lib23_experiment_design.tsv	6	3	3	3
lib24	metadata/experiment_designs/lib24_experiment_design.tsv	6	3	3	3
lib25	metadata/experiment_designs/lib25_experiment_design.tsv	6	3	3	3
lib26	metadata/experiment_designs/lib26_experiment_design.tsv	6	3	3	3
lib27	metadata/experiment_designs/lib27_experiment_design.tsv	6	3	3	3
lib28	metadata/experiment_designs/lib28_experiment_design.tsv	6	3	3	3
lib29	metadata/experiment_designs/lib29_experiment_design.tsv	6	3	3	3
lib2	metadata/experiment_designs/lib2_experiment_design.tsv	6	3	3	3
lib30	metadata/experiment_designs/lib30_experiment_design.tsv	6	3	3	3
lib3	metadata/experiment_designs/lib3_experiment_design.tsv	6	3	3	3
lib4	metadata/experiment_designs/lib4_experiment_design.tsv	6	3	3	3
lib5	metadata/experiment_designs/lib5_experiment_design.tsv	6	3	3	3
lib6	metadata/experiment_designs/lib6_experiment_design.tsv	6	3	3	3
lib7	metadata/experiment_designs/lib7_experiment_design.tsv	6	3	3	3
lib8	metadata/experiment_designs/lib8_experiment_design.tsv	6	3	3	3
lib9	metadata/experiment_designs/lib9_experiment_design.tsv	6	3	3	3
libr1	metadata/experiment_designs/libr1_experiment_design.tsv	6	3	3	3
