group	pTM_A	pTM_DNA	pTM_MG	pTM_C	pTM_rep	ipTM_A	ipTM_DNA	ipTM_MG	ipTM_C	ipTM_rep	ipTM_A_DNA	ipTM_A_MG	ipTM_DNA_MG	ipTM_A_C	ipTM_C_MG	ipTM_A_rep	ipTM_C_DNA	ipTM_C_rep	ipTM_DNA_rep	ipTM_MG_rep	ipSAE_A_DNA	ipSAE_d0chn_A_DNA	ipSAE_d0dom_A_DNA	ipTM_af_ipSAE_15_A_DNA	ipTM_d0chn_ipSAE_15_A_DNA	pDockQ_ipSAE_15_A_DNA	pDockQ2_ipSAE_15_A_DNA	LIS_ipSAE_15_A_DNA	ipSAE_A_C	ipSAE_d0chn_A_C	ipSAE_d0dom_A_C	ipTM_af_ipSAE_15_A_C	ipTM_d0chn_ipSAE_15_A_C	pDockQ_ipSAE_15_A_C	pDockQ2_ipSAE_15_A_C	LIS_ipSAE_15_A_C	ipSAE_A_rep	ipSAE_d0chn_A_rep	ipSAE_d0dom_A_rep	ipTM_af_ipSAE_15_A_rep	ipTM_d0chn_ipSAE_15_A_rep	pDockQ_ipSAE_15_A_rep	pDockQ2_ipSAE_15_A_rep	LIS_ipSAE_15_A_rep	ipSAE_C_DNA	ipSAE_d0chn_C_DNA	ipSAE_d0dom_C_DNA	ipTM_af_ipSAE_15_C_DNA	ipTM_d0chn_ipSAE_15_C_DNA	pDockQ_ipSAE_15_C_DNA	pDockQ2_ipSAE_15_C_DNA	LIS_ipSAE_15_C_DNA	ipSAE_C_rep	ipSAE_d0chn_C_rep	ipSAE_d0dom_C_rep	ipTM_af_ipSAE_15_C_rep	ipTM_d0chn_ipSAE_15_C_rep	pDockQ_ipSAE_15_C_rep	pDockQ2_ipSAE_15_C_rep	LIS_ipSAE_15_C_rep	ipSAE_DNA_rep	ipSAE_d0chn_DNA_rep	ipSAE_d0dom_DNA_rep	ipTM_af_ipSAE_15_DNA_rep	ipTM_d0chn_ipSAE_15_DNA_rep	pDockQ_ipSAE_15_DNA_rep	pDockQ2_ipSAE_15_DNA_rep	LIS_ipSAE_15_DNA_rep
gpa_dsDNA_30nt_seed10_model_0	0.87	0.215	NA	NA	NA	0.74	0.405	0.38	NA	NA	0.68	0.86	0.14	NA	NA	NA	NA	NA	NA	NA	0.505838	0.638852	0.625903	0.86	0.593426	0.2331	0.1944	0.318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed10_model_1	0.85	0.215	NA	NA	NA	0.72	0.385	0.36	NA	NA	0.66	0.84	0.13	NA	NA	NA	NA	NA	NA	NA	0.490955	0.640678	0.62041	0.84	0.570925	0.3091	0.2385	0.314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed10_model_2	0.86	0.20500000000000002	NA	NA	NA	0.7	0.37	0.37	NA	NA	0.63	0.84	0.13	NA	NA	NA	NA	NA	NA	NA	0.477482	0.662817	0.647321	0.84	0.528063	0.2484	0.1157	0.324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed10_model_3	0.85	0.19	NA	NA	NA	0.68	0.34	0.34	NA	NA	0.59	0.85	0.09	NA	NA	NA	NA	NA	NA	NA	0.393396	0.647535	0.630284	0.85	0.493377	0.213	0.0744	0.2761	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed10_model_4	0.85	0.19	NA	NA	NA	0.67	0.335	0.34	NA	NA	0.58	0.83	0.1	NA	NA	NA	NA	NA	NA	NA	0.422029	0.652825	0.63484	0.83	0.491509	0.2485	0.0787	0.2821	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed1_model_0	0.88	0.24	NA	NA	NA	0.78	0.455	0.41	NA	NA	0.75	0.88	0.18	NA	NA	NA	NA	NA	NA	NA	0.558002	0.665159	0.653884	0.88	0.665159	0.2938	0.2947	0.3479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed1_model_1	0.86	0.235	NA	NA	NA	0.77	0.435	0.39	NA	NA	0.74	0.85	0.17	NA	NA	NA	NA	NA	NA	NA	0.530541	0.647285	0.63224	0.85	0.641746	0.292	0.2794	0.3321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed1_model_2	0.85	0.225	NA	NA	NA	0.75	0.415	0.38	NA	NA	0.71	0.85	0.15	NA	NA	NA	NA	NA	NA	NA	0.527829	0.632968	0.614453	0.85	0.614908	0.279	0.2453	0.3227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed1_model_3	0.87	0.225	NA	NA	NA	0.75	0.415	0.39	NA	NA	0.71	0.87	0.16	NA	NA	NA	NA	NA	NA	NA	0.497948	0.636144	0.619358	0.87	0.614021	0.307	0.2518	0.316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed1_model_4	0.86	0.20500000000000002	NA	NA	NA	0.69	0.365	0.36	NA	NA	0.62	0.85	0.13	NA	NA	NA	NA	NA	NA	NA	0.452894	0.661504	0.642779	0.85	0.509281	0.2282	0.1196	0.3013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
