protein	Jobs	database	Download	bitscore	Meff	Meff_L	quality
A	A_EVcouplings_UniRef90	UniRef90	Done	0.1	9	0	0
A	A_EVcouplings_UniRef90	UniRef90	Done	0.2	10	0	0
A	A_EVcouplings_UniRef90	UniRef90	Done	0.3	6	0	0
A	A_EVcouplings_UniRef90	UniRef90	Done	0.4	7	0	0
A	A_EVcouplings_UniRef90	UniRef90	Done	0.5	6	0	0
A	A_EVcouplings_UniRef90	UniRef90	Done	0.6	7	0	0
A	A_EVcouplings_UniRef90	UniRef90	Done	0.7	6	0	0
A	A_EVcouplings_UniRef90	UniRef90	Done	0.8	6	0	0
A	A_EVcouplings_UniRef90	UniRef90	Done	0.9	6	0	0
Astar	Astar_EVcouplings_UniRef90	UniRef90	Done	0.1	571	3.6	5
Astar	Astar_EVcouplings_UniRef90	UniRef90	Done	0.2	11	0	0
Astar	Astar_EVcouplings_UniRef90	UniRef90	Done	0.3	11	0	0
Astar	Astar_EVcouplings_UniRef90	UniRef90	Done	0.4	9	0	0
Astar	Astar_EVcouplings_UniRef90	UniRef90	Done	0.5	6	0	0
Astar	Astar_EVcouplings_UniRef90	UniRef90	Done	0.6	6	0	0
Astar	Astar_EVcouplings_UniRef90	UniRef90	Done	0.7	6	0	0
Astar	Astar_EVcouplings_UniRef90	UniRef90	Done	0.8	6	0	0
Astar	Astar_EVcouplings_UniRef90	UniRef90	Done	0.9	6	0	0
B	B_EVcouplings_UniRef90	UniRef90	Done	0.1	19545	331.3	9
B	B_EVcouplings_UniRef90	UniRef90	Done	0.2	1363	19.5	5
B	B_EVcouplings_UniRef90	UniRef90	Done	0.3	9	0.1	0
B	B_EVcouplings_UniRef90	UniRef90	Done	0.4	7	0.1	0
B	B_EVcouplings_UniRef90	UniRef90	Done	0.5	7	0.1	0
B	B_EVcouplings_UniRef90	UniRef90	Done	0.6	6	0.1	0
B	B_EVcouplings_UniRef90	UniRef90	Done	0.7	6	0.1	0
B	B_EVcouplings_UniRef90	UniRef90	Done	0.8	6	0.1	0
B	B_EVcouplings_UniRef90	UniRef90	Done	0.9	4	0	0
C	C_EVcouplings_UniRef90	UniRef90	Done	0.1	23097	471.4	8
C	C_EVcouplings_UniRef90	UniRef90	Done	0.2	18140	292.6	9
C	C_EVcouplings_UniRef90	UniRef90	Done	0.3	13	0.2	0
C	C_EVcouplings_UniRef90	UniRef90	Done	0.4	9	0.1	0
C	C_EVcouplings_UniRef90	UniRef90	Done	0.5	8	0.1	0
C	C_EVcouplings_UniRef90	UniRef90	Done	0.6	8	0.1	0
C	C_EVcouplings_UniRef90	UniRef90	Done	0.7	7	0.1	0
C	C_EVcouplings_UniRef90	UniRef90	Done	0.8	4	0.1	0
C	C_EVcouplings_UniRef90	UniRef90	Done	0.9	4	0.1	0
D	D_EVcouplings_UniRef90	UniRef90	Done	0.1	20164	210	9
D	D_EVcouplings_UniRef90	UniRef90	Done	0.2	10	0.1	0
D	D_EVcouplings_UniRef90	UniRef90	Done	0.3	10	0.1	0
D	D_EVcouplings_UniRef90	UniRef90	Done	0.4	10	0.1	0
D	D_EVcouplings_UniRef90	UniRef90	Done	0.5	7	0	0
D	D_EVcouplings_UniRef90	UniRef90	Done	0.6	6	0	0
D	D_EVcouplings_UniRef90	UniRef90	Done	0.7	6	0	0
D	D_EVcouplings_UniRef90	UniRef90	Done	0.8	6	0	0
D	D_EVcouplings_UniRef90	UniRef90	Done	0.9	6	0	0
E	E_EVcouplings_UniRef90	UniRef90	Done	0.1	103581	2252	8
E	E_EVcouplings_UniRef90	UniRef90	Done	0.2	15881	214.6	8
E	E_EVcouplings_UniRef90	UniRef90	Done	0.3	7	0.1	0
E	E_EVcouplings_UniRef90	UniRef90	Done	0.4	7	0.1	0
E	E_EVcouplings_UniRef90	UniRef90	Done	0.5	7	0.1	0
E	E_EVcouplings_UniRef90	UniRef90	Done	0.6	7	0.1	0
E	E_EVcouplings_UniRef90	UniRef90	Done	0.7	7	0.1	0
E	E_EVcouplings_UniRef90	UniRef90	Done	0.8	7	0.1	0
E	E_EVcouplings_UniRef90	UniRef90	Done	0.9	7	0.1	0
F	F_EVcouplings_UniRef90	UniRef90	Done	0.1	757	1.9	6
F	F_EVcouplings_UniRef90	UniRef90	Done	0.2	14	0	0
F	F_EVcouplings_UniRef90	UniRef90	Done	0.3	13	0	0
F	F_EVcouplings_UniRef90	UniRef90	Done	0.4	13	0	0
F	F_EVcouplings_UniRef90	UniRef90	Done	0.5	12	0	0
F	F_EVcouplings_UniRef90	UniRef90	Done	0.6	11	0	0
F	F_EVcouplings_UniRef90	UniRef90	Done	0.7	11	0	0
F	F_EVcouplings_UniRef90	UniRef90	Done	0.8	11	0	0
F	F_EVcouplings_UniRef90	UniRef90	Done	0.9	9	0	0
G	G_EVcouplings_UniRef90	UniRef90	Done	0.1	6655	71.6	8
G	G_EVcouplings_UniRef90	UniRef90	Done	0.2	14	0.1	0
G	G_EVcouplings_UniRef90	UniRef90	Done	0.3	14	0.1	0
G	G_EVcouplings_UniRef90	UniRef90	Done	0.4	13	0.1	0
G	G_EVcouplings_UniRef90	UniRef90	Done	0.5	13	0.1	0
G	G_EVcouplings_UniRef90	UniRef90	Done	0.6	11	0.1	0
G	G_EVcouplings_UniRef90	UniRef90	Done	0.7	11	0.1	0
G	G_EVcouplings_UniRef90	UniRef90	Done	0.8	9	0	0
G	G_EVcouplings_UniRef90	UniRef90	Done	0.9	8	0	0
H	H_EVcouplings_UniRef90	UniRef90	Done	0.1	11	0	0
H	H_EVcouplings_UniRef90	UniRef90	Done	0.2	9	0	0
H	H_EVcouplings_UniRef90	UniRef90	Done	0.3	9	0	0
H	H_EVcouplings_UniRef90	UniRef90	Done	0.4	9	0	0
H	H_EVcouplings_UniRef90	UniRef90	Done	0.5	7	0	0
H	H_EVcouplings_UniRef90	UniRef90	Done	0.6	7	0	0
H	H_EVcouplings_UniRef90	UniRef90	Done	0.7	7	0	0
H	H_EVcouplings_UniRef90	UniRef90	Done	0.8	7	0	0
H	H_EVcouplings_UniRef90	UniRef90	Done	0.9	4	0	0
J	J_EVcouplings_UniRef90	UniRef90	Done	0.1	12748	637.4	7
J	J_EVcouplings_UniRef90	UniRef90	Done	0.2	4613	219.7	8
J	J_EVcouplings_UniRef90	UniRef90	Done	0.3	1441	72	7
J	J_EVcouplings_UniRef90	UniRef90	Done	0.4	286	11.9	5
J	J_EVcouplings_UniRef90	UniRef90	Done	0.5	34	1.4	4
J	J_EVcouplings_UniRef90	UniRef90	Done	0.6	5	0.2	0
J	J_EVcouplings_UniRef90	UniRef90	Done	0.7	4	0.2	0
J	J_EVcouplings_UniRef90	UniRef90	Done	0.8	2	0.1	0
J	J_EVcouplings_UniRef90	UniRef90	Done	0.9	2	0.1	0
K	K_EVcouplings_UniRef90	UniRef90	Done	0.1	37926	1264	7
K	K_EVcouplings_UniRef90	UniRef90	Done	0.2	9554	318.4	7
K	K_EVcouplings_UniRef90	UniRef90	Done	0.3	2703	93.2	5
K	K_EVcouplings_UniRef90	UniRef90	Done	0.4	136	2.8	4
K	K_EVcouplings_UniRef90	UniRef90	Done	0.5	6	0.1	0
K	K_EVcouplings_UniRef90	UniRef90	Done	0.6	6	0.1	0
K	K_EVcouplings_UniRef90	UniRef90	Done	0.7	6	0.1	0
K	K_EVcouplings_UniRef90	UniRef90	Done	0.8	6	0.1	0
K	K_EVcouplings_UniRef90	UniRef90	Done	0.9	6	0.1	0
blat	blat_EVcouplings_UniRef90	UniRef90	Done	0.1	NA	NA	NA
blat	blat_EVcouplings_UniRef90	UniRef90	Done	0.2	62415	291.7	10
blat	blat_EVcouplings_UniRef90	UniRef90	Done	0.3	13620	54	10
blat	blat_EVcouplings_UniRef90	UniRef90	Done	0.4	10608	41.8	10
blat	blat_EVcouplings_UniRef90	UniRef90	Done	0.5	8766	33.8	10
blat	blat_EVcouplings_UniRef90	UniRef90	Done	0.6	6022	22.8	10
blat	blat_EVcouplings_UniRef90	UniRef90	Done	0.7	4453	16.9	10
blat	blat_EVcouplings_UniRef90	UniRef90	Done	0.8	4288	16.3	10
blat	blat_EVcouplings_UniRef90	UniRef90	Done	0.9	4202	16	10
A	A_EVcouplings_UniRef100	UniRef100	Done	0.1	11	0	0
A	A_EVcouplings_UniRef100	UniRef100	Done	0.2	10	0	0
A	A_EVcouplings_UniRef100	UniRef100	Done	0.3	7	0	0
A	A_EVcouplings_UniRef100	UniRef100	Done	0.4	7	0	0
A	A_EVcouplings_UniRef100	UniRef100	Done	0.5	7	0	0
A	A_EVcouplings_UniRef100	UniRef100	Done	0.6	8	0	0
A	A_EVcouplings_UniRef100	UniRef100	Done	0.7	7	0	0
A	A_EVcouplings_UniRef100	UniRef100	Done	0.8	7	0	0
A	A_EVcouplings_UniRef100	UniRef100	Done	0.9	7	0	0
Astar	Astar_EVcouplings_UniRef100	UniRef100	Done	0.1	557	3.5	6
Astar	Astar_EVcouplings_UniRef100	UniRef100	Done	0.2	12	0	0
Astar	Astar_EVcouplings_UniRef100	UniRef100	Done	0.3	11	0	0
Astar	Astar_EVcouplings_UniRef100	UniRef100	Done	0.4	9	0	0
Astar	Astar_EVcouplings_UniRef100	UniRef100	Done	0.5	7	0	0
Astar	Astar_EVcouplings_UniRef100	UniRef100	Done	0.6	7	0	0
Astar	Astar_EVcouplings_UniRef100	UniRef100	Done	0.7	7	0	0
Astar	Astar_EVcouplings_UniRef100	UniRef100	Done	0.8	7	0	0
Astar	Astar_EVcouplings_UniRef100	UniRef100	Done	0.9	7	0	0
B	B_EVcouplings_UniRef100	UniRef100	Done	0.1	23308	408.9	9
B	B_EVcouplings_UniRef100	UniRef100	Done	0.2	1015	10.6	5
B	B_EVcouplings_UniRef100	UniRef100	Done	0.3	8	0.1	0
B	B_EVcouplings_UniRef100	UniRef100	Done	0.4	6	0.1	0
B	B_EVcouplings_UniRef100	UniRef100	Done	0.5	6	0.1	0
B	B_EVcouplings_UniRef100	UniRef100	Done	0.6	5	0	0
B	B_EVcouplings_UniRef100	UniRef100	Done	0.7	5	0	0
B	B_EVcouplings_UniRef100	UniRef100	Done	0.8	4	0	0
B	B_EVcouplings_UniRef100	UniRef100	Done	0.9	4	0	0
C	C_EVcouplings_UniRef100	UniRef100	Done	0.1	27637	575.8	8
C	C_EVcouplings_UniRef100	UniRef100	Done	0.2	21437	397	8
C	C_EVcouplings_UniRef100	UniRef100	Done	0.3	13	0.2	0
C	C_EVcouplings_UniRef100	UniRef100	Done	0.4	10	0.1	0
C	C_EVcouplings_UniRef100	UniRef100	Done	0.5	8	0.1	0
C	C_EVcouplings_UniRef100	UniRef100	Done	0.6	8	0.1	0
C	C_EVcouplings_UniRef100	UniRef100	Done	0.7	5	0.1	0
C	C_EVcouplings_UniRef100	UniRef100	Done	0.8	4	0.1	0
C	C_EVcouplings_UniRef100	UniRef100	Done	0.9	4	0.1	0
D	D_EVcouplings_UniRef100	UniRef100	Done	0.1	16766	169.4	10
D	D_EVcouplings_UniRef100	UniRef100	Done	0.2	12	0.1	0
D	D_EVcouplings_UniRef100	UniRef100	Done	0.3	12	0.1	0
D	D_EVcouplings_UniRef100	UniRef100	Done	0.4	12	0.1	0
D	D_EVcouplings_UniRef100	UniRef100	Done	0.5	8	0.1	0
D	D_EVcouplings_UniRef100	UniRef100	Done	0.6	7	0	0
D	D_EVcouplings_UniRef100	UniRef100	Done	0.7	7	0	0
D	D_EVcouplings_UniRef100	UniRef100	Done	0.8	7	0	0
D	D_EVcouplings_UniRef100	UniRef100	Done	0.9	7	0	0
E	E_EVcouplings_UniRef100	UniRef100	Done	0.1	NA	NA	NA
E	E_EVcouplings_UniRef100	UniRef100	Done	0.2	14258	274.2	8
E	E_EVcouplings_UniRef100	UniRef100	Done	0.3	6	0.1	0
E	E_EVcouplings_UniRef100	UniRef100	Done	0.4	6	0.1	0
E	E_EVcouplings_UniRef100	UniRef100	Done	0.5	6	0.1	0
E	E_EVcouplings_UniRef100	UniRef100	Done	0.6	6	0.1	0
E	E_EVcouplings_UniRef100	UniRef100	Done	0.7	6	0.1	0
E	E_EVcouplings_UniRef100	UniRef100	Done	0.8	6	0.1	0
E	E_EVcouplings_UniRef100	UniRef100	Done	0.9	6	0.1	0
F	F_EVcouplings_UniRef100	UniRef100	Done	0.1	761	1.9	6
F	F_EVcouplings_UniRef100	UniRef100	Done	0.2	14	0	0
F	F_EVcouplings_UniRef100	UniRef100	Done	0.3	13	0	0
F	F_EVcouplings_UniRef100	UniRef100	Done	0.4	13	0	0
F	F_EVcouplings_UniRef100	UniRef100	Done	0.5	12	0	0
F	F_EVcouplings_UniRef100	UniRef100	Done	0.6	11	0	0
F	F_EVcouplings_UniRef100	UniRef100	Done	0.7	11	0	0
F	F_EVcouplings_UniRef100	UniRef100	Done	0.8	11	0	0
F	F_EVcouplings_UniRef100	UniRef100	Done	0.9	9	0	0
G	G_EVcouplings_UniRef100	UniRef100	Done	0.1	7205	74.3	8
G	G_EVcouplings_UniRef100	UniRef100	Done	0.2	13	0.1	0
G	G_EVcouplings_UniRef100	UniRef100	Done	0.3	13	0.1	0
G	G_EVcouplings_UniRef100	UniRef100	Done	0.4	12	0.1	0
G	G_EVcouplings_UniRef100	UniRef100	Done	0.5	12	0.1	0
G	G_EVcouplings_UniRef100	UniRef100	Done	0.6	10	0.1	0
